"V1","V2","V3","V4","V5","V6"
"0100045","1","09:37:05","1","09:38:12","walk"
"0100046","1","09:39:29","1","09:40:08","walk"
"0100047","1","09:45:24","1","09:49:40","walk"
"0100048","1","10:29:57","1","10:30:50","walk"
"0100049","1","10:38:10","1","10:39:45","walk"
"0100050","1","10:43:15","1","10:44:59","walk"
"0100051","1","13:56:53","1","14:11:24","walk"
"0100052","1","16:48:38","1","17:29:11","train"
"0100053","1","17:34:10","1","17:48:05","walk"
"0100054","2","16:44:44","2","17:16:27","bus"
"0100055","2","17:53:07","2","18:00:07","walk"
"0100056","2","18:08:12","2","19:22:21","train"
"0100057","2","19:22:31","2","19:29:51","walk"
"0100058","2","19:30:29","2","19:37:19","taxi"
"0100059","3","07:34:09","3","07:39:43","walk"
"0100060","3","07:40:07","3","07:53:20","taxi"
"0100061","3","08:10:14","3","10:23:49","train"
"0100062","3","10:44:57","3","10:52:35","walk"
"0100063","3","10:58:05","3","11:12:51","bus"
"0100064","3","11:46:10","3","11:54:59","subway"
"0100065","3","12:13:38","3","12:15:18","bus"
"0100066","3","19:10:33","3","19:20:44","walk"
"0100067","3","19:33:34","3","20:23:02","bus"
"0100068","3","20:28:18","3","20:32:20","bus"
"0100069","3","20:32:50","3","20:42:44","walk"
"0100070","3","21:33:09","3","21:39:08","walk"
"0100071","3","21:47:35","3","22:05:31","bus"
"0100072","3","22:05:48","3","22:11:21","walk"
"0100073","3","22:30:00","3","22:59:59","train"
"0100074","3","23:00:00","4","06:51:09","train"
"0100075","4","07:04:10","4","11:28:41","train"
"0100076","4","17:04:08","4","17:35:28","walk"
"0100077","4","19:50:26","4","22:59:59","train"
"0100078","4","23:00:00","5","06:02:41","train"
"0100079","5","06:22:01","5","08:12:26","train"
"0100080","5","08:30:27","5","08:37:00","walk"
"0100081","5","11:06:29","5","12:04:26","train"
"0100082","5","14:56:14","5","15:54:58","train"
"0100083","5","17:53:20","5","19:54:40","train"
"0100084","5","19:56:05","5","20:01:33","walk"
"0100085","5","20:02:01","5","20:11:59","taxi"
"0100086","6","14:13:59","6","14:33:14","taxi"
"0100087","6","14:33:35","6","14:36:07","walk"
"0100088","6","19:31:55","6","19:42:31","taxi"
"0100089","6","23:08:27","6","23:15:57","walk"
"0100090","6","23:19:03","6","23:27:16","taxi"
"0100091","5","09:35:37","5","09:45:15","walk"
"0100092","5","09:51:47","5","10:37:43","subway"
"0100093","5","10:59:36","5","11:30:20","subway"
"0100094","5","12:20:07","5","14:03:51","airplane"
"0100095","5","14:05:18","5","14:12:23","walk"
"0100096","5","14:17:08","5","15:06:26","bus"
"0100097","5","15:08:16","5","15:13:18","walk"
"0100098","5","15:16:35","5","15:20:54","walk"
"0100099","5","15:29:26","5","17:03:10","train"
"0100100","5","17:03:22","5","17:09:12","walk"
"0100101","5","18:10:32","5","18:15:00","walk"
"0100102","5","18:16:58","5","22:05:34","train"
"0100103","5","22:18:45","5","22:59:59","train"
"0100104","2","06:09:37","2","06:39:55","train"
"0100105","2","06:54:20","2","07:02:44","bus"
"0100106","2","07:02:59","2","07:07:31","walk"
"0100107","2","07:10:22","2","07:28:29","bus"
"0100108","2","07:28:53","2","07:30:48","walk"
"0100109","2","07:32:05","2","07:32:43","walk"
"0100110","2","07:55:06","2","07:57:06","walk"
"0100111","2","07:58:43","2","08:07:14","subway"
"0100112","2","08:09:09","2","08:12:53","walk"
"0100113","2","18:42:37","2","18:46:42","walk"
"0100114","2","18:49:05","2","19:03:05","subway"
"0100115","2","19:06:35","2","19:08:49","walk"
"0100116","2","19:29:15","2","19:38:43","taxi"
"0100117","2","20:14:44","2","20:51:36","train"
"0100118","2","20:56:55","2","20:57:56","walk"
"0100119","2","21:04:19","2","21:06:42","walk"
"0100120","2","21:56:22","2","21:58:59","taxi"
"0100121","3","05:12:34","3","05:13:38","taxi"
"0100122","3","05:13:57","3","05:15:13","walk"
"0100123","3","05:39:30","3","06:15:51","train"
"0100124","3","06:21:33","3","07:04:20","taxi"
"0100125","3","17:15:11","3","17:33:12","bus"
"0100126","3","17:36:11","3","17:42:00","bus"
"0100127","3","17:42:22","3","17:44:06","walk"
"0100128","3","18:04:50","3","18:35:08","train"
"0100129","3","18:43:16","3","18:45:00","taxi"
"0100130","4","05:56:54","4","06:01:52","bus"
"0100131","4","06:02:15","4","06:07:08","walk"
"0100132","4","06:24:42","4","06:55:05","train"
"0100133","4","06:59:28","4","07:14:54","taxi"
"0100134","4","07:35:47","4","07:37:34","walk"
"0100135","4","07:41:41","4","07:50:43","subway"
"0100136","4","07:53:08","4","07:57:08","walk"
"0100137","4","17:43:23","4","17:53:03","subway"
"0100138","4","17:56:18","4","17:57:33","walk"
"0100139","4","18:15:18","4","18:17:53","walk"
"0100140","4","18:19:04","4","18:24:38","bus"
"0100141","4","18:26:54","4","18:31:29","bus"
"0100142","4","18:44:38","4","18:54:25","bus"
"0100143","4","18:54:45","4","18:59:46","walk"
"0100144","5","06:44:39","5","07:15:05","train"
"0100145","5","07:24:19","5","07:39:10","bus"
"0100146","5","07:45:26","5","08:20:53","taxi"
"0100147","5","17:42:35","5","17:45:15","walk"
"0100148","5","17:46:56","5","17:56:10","subway"
"0100149","5","18:00:03","5","18:01:25","walk"
"0100150","5","18:20:47","5","18:22:14","walk"
"0100151","5","18:24:54","5","18:38:27","bus"
"0100152","5","18:50:43","5","19:02:11","bus"
"0100153","5","19:02:50","5","19:03:50","walk"
"0100154","5","19:24:34","5","19:55:52","train"
"0100155","5","20:06:59","5","20:09:22","walk"
"0100156","1","05:24:38","1","05:55:21","train"
"0100157","1","06:01:53","1","06:36:48","taxi"
"0100158","1","06:58:45","1","07:07:41","subway"
"0100159","1","18:14:52","1","18:24:30","subway"
"0100160","1","18:47:30","1","18:58:57","taxi"
"0100161","1","19:24:36","1","19:54:43","train"
"0100162","1","20:05:06","1","20:07:38","walk"
"0100163","1","20:48:12","1","20:59:24","walk"
"0100164","2","06:24:33","2","06:54:54","train"
"0100165","2","07:00:11","2","07:35:06","taxi"
"0100166","2","07:58:47","2","08:07:50","subway"
"0100167","2","08:09:43","2","08:13:11","walk"
"0100168","2","19:18:05","2","19:27:27","subway"
"0100169","2","19:44:53","2","19:56:23","taxi"
"0100170","2","20:14:31","2","20:50:00","train"
"0100171","2","21:12:08","2","21:13:39","walk"
"0100172","2","21:27:12","2","21:31:47","bus"
"0100173","3","06:14:56","3","06:16:37","taxi"
"0100174","3","06:24:31","3","06:55:00","train"
"0100175","3","07:00:31","3","07:58:12","taxi"
"0100176","3","08:22:44","3","08:32:11","subway"
"0100177","3","08:33:33","3","08:37:12","walk"
"0100178","3","18:34:59","3","18:39:51","taxi"
"0100179","3","18:41:16","3","18:43:18","walk"
"0100180","3","19:45:52","3","19:52:02","subway"
"0100181","3","19:55:07","3","19:56:22","walk"
"0100182","3","20:13:48","3","20:27:30","taxi"
"0100183","3","20:39:35","3","21:09:41","train"
"0100184","3","21:18:04","3","21:20:40","taxi"
"0100185","4","06:13:34","4","06:18:45","taxi"
"0100186","4","06:24:40","4","06:55:10","train"
"0100187","4","06:59:26","4","07:25:01","taxi"
"0100188","4","07:49:39","4","07:58:34","subway"
"0100189","4","08:00:20","4","08:03:38","walk"
"0100190","4","17:42:04","4","18:00:52","taxi"
"0100191","4","18:14:37","4","18:44:30","train"
"0100192","4","18:54:46","4","18:57:45","taxi"
"0100193","5","06:09:37","5","06:39:54","train"
"0100194","5","06:57:42","5","07:28:02","taxi"
"0100195","5","07:53:09","5","08:01:52","subway"
"0100196","5","08:03:45","5","08:07:10","walk"
"0100197","5","17:53:42","5","18:02:50","subway"
"0100198","5","18:04:27","5","18:05:33","walk"
"0100199","5","18:27:15","5","18:42:10","taxi"
"0100200","5","19:05:05","5","19:35:25","train"
"0100201","5","19:41:46","5","19:49:31","train"
"0100202","5","19:50:33","5","19:55:00","walk"
"0100203","5","19:55:42","5","20:05:08","taxi"
"0100204","5","20:09:52","5","20:13:32","walk"
"0100205","6","06:24:33","6","07:25:48","train"
"0100206","6","07:30:51","6","07:58:48","taxi"
"0100207","6","08:13:33","6","08:22:05","subway"
"0100208","6","08:23:10","6","08:26:31","walk"
"0100209","6","18:42:13","6","19:29:29","car"
"0100210","6","19:44:42","6","20:14:37","train"
"0100211","6","20:20:16","6","20:23:53","walk"
"0100212","6","20:30:54","6","20:35:26","bus"
"0100213","7","06:22:35","7","06:24:42","taxi"
"0100214","7","06:44:32","7","07:14:43","train"
"0100215","7","07:19:02","7","07:40:37","taxi"
"0100216","7","08:04:47","7","08:13:50","subway"
"0100217","7","08:16:21","7","08:19:49","walk"
"0100218","7","19:06:25","7","19:15:44","subway"
"0100219","7","19:18:45","7","19:20:26","walk"
"0100220","7","19:47:43","7","19:49:22","walk"
"0100221","7","20:29:51","7","22:59:59","train"
"0100222","7","23:00:00","1","14:16:06","train"
"0100223","1","14:16:48","1","14:36:35","walk"
"0100224","1","15:22:18","1","18:22:38","train"
"0100225","1","18:23:58","1","18:28:09","walk"
"0100226","1","19:26:02","1","19:28:44","walk"
"0100227","1","19:52:41","1","22:59:59","train"
"0100228","1","23:00:00","2","03:58:48","train"
"0100229","2","03:59:56","2","04:01:02","walk"
"0100230","2","04:12:09","2","04:39:27","bus"
"0100231","2","04:40:49","2","04:44:02","walk"
"0100232","2","06:56:39","2","07:15:36","walk"
"0100233","2","09:23:43","2","09:36:05","walk"
"0100234","2","09:39:13","2","09:42:38","walk"
"0100235","2","09:43:02","2","09:50:58","taxi"
"0100236","2","10:05:04","2","10:12:48","walk"
"0100237","2","10:52:35","2","10:56:47","walk"
"0100238","2","11:01:35","2","12:19:33","train"
"0100239","2","12:21:20","2","12:22:07","walk"
"0100240","2","12:24:20","2","12:46:16","walk"
"0100241","2","14:12:04","2","14:29:36","walk"
"0100242","2","14:52:58","2","14:58:04","walk"
"0100243","2","15:19:07","2","15:20:28","walk"
"0100244","2","15:25:02","2","21:19:30","train"
"0100245","2","21:25:18","2","21:28:28","walk"
"0100246","2","21:44:33","2","21:49:08","walk"
"0100247","2","22:30:42","2","22:41:25","walk"
"0100248","2","22:48:19","2","22:59:36","walk"
"0100249","3","03:32:47","3","12:41:09","train"
"0100250","3","12:41:32","3","12:55:00","walk"
"0100251","3","12:58:52","3","13:01:00","walk"
"0100252","3","13:07:32","3","13:20:40","taxi"
"0100253","3","13:21:20","3","13:44:24","walk"
"0100254","3","13:44:34","3","14:06:27","taxi"
"0100255","3","14:07:42","3","14:13:00","walk"
"0100256","3","15:16:52","3","18:46:49","train"
"0100257","3","18:54:35","3","19:26:39","walk"
"0100258","3","19:39:16","3","19:45:32","taxi"
"0100259","3","19:46:38","3","19:48:55","walk"
"0100260","4","06:08:24","4","06:13:11","taxi"
"0100261","4","06:13:23","4","06:23:35","walk"
"0100262","4","07:29:49","4","20:44:11","train"
"0100263","4","20:45:25","4","20:48:58","walk"
"0100264","4","20:52:53","4","20:55:58","walk"
"0100265","4","21:24:50","4","22:59:59","train"
"0100266","4","23:00:00","5","08:24:53","train"
"0100267","5","08:28:09","5","08:34:56","walk"
"0100268","5","08:36:31","5","08:46:26","walk"
"0100269","5","10:31:45","5","10:59:59","walk"
"0100270","5","11:06:40","5","11:14:22","bus"
"0100271","5","11:14:23","5","11:17:57","walk"
"0100272","5","12:00:54","5","12:24:44","bus"
"0100273","5","12:24:45","5","12:38:29","walk"
"0100274","5","14:25:16","5","16:55:51","airplane"
"0100275","5","16:59:55","5","17:06:19","walk"
"0100276","5","17:11:15","5","17:20:36","walk"
"0100277","5","17:21:08","5","17:50:47","subway"
"0100278","5","18:06:36","5","18:13:03","subway"
"0100279","5","20:49:35","5","21:19:33","train"
"0100280","5","21:25:21","5","21:41:06","walk"
"0100281","1","05:51:12","1","05:53:00","taxi"
"0100282","1","06:09:51","1","06:40:43","train"
"0100283","1","06:51:28","1","07:49:40","taxi"
"0100284","1","07:52:32","1","07:54:47","walk"
"0100285","1","08:16:40","1","08:25:50","subway"
"0100286","1","08:27:48","1","08:32:40","walk"
"0100287","1","18:00:50","1","18:10:14","subway"
"0100288","1","18:31:12","1","18:44:00","taxi"
"0100289","1","19:04:46","1","19:34:57","train"
"0100290","1","19:42:32","1","19:50:48","train"
"0100291","1","19:51:04","1","19:53:34","walk"
"0100292","1","19:53:57","1","20:03:42","taxi"
"0100293","2","06:24:29","2","06:54:57","train"
"0100294","2","07:00:18","2","07:29:18","taxi"
"0100295","2","07:53:14","2","08:02:13","subway"
"0100296","2","08:03:45","2","08:07:44","walk"
"0100297","2","17:19:38","2","17:29:01","subway"
"0100298","2","17:31:43","2","17:34:50","walk"
"0100299","2","17:51:32","2","18:04:20","taxi"
"0100300","2","18:14:37","2","18:44:37","train"
"0100301","2","18:52:47","2","18:54:00","walk"
"0100302","2","19:07:38","2","19:12:20","train"
"0100303","3","06:16:55","3","06:30:35","walk"
"0100304","3","06:44:35","3","07:15:01","train"
"0100305","3","07:20:18","3","07:37:59","taxi"
"0100306","3","08:04:40","3","08:14:01","subway"
"0100307","3","08:15:45","3","08:20:53","walk"
"0100308","3","17:50:16","3","17:59:59","subway"
"0100309","3","18:04:36","3","18:06:27","walk"
"0100310","3","18:24:04","3","18:35:30","taxi"
"0100311","3","18:49:24","3","19:19:38","train"
"0100312","3","19:50:25","3","19:59:10","train"
"0100313","3","20:03:06","3","20:11:02","taxi"
"0100314","4","06:12:09","4","06:13:39","taxi"
"0100315","4","06:24:30","4","06:55:00","train"
"0100316","4","07:00:57","4","07:26:05","taxi"
"0100317","4","07:52:54","4","08:01:55","subway"
"0100318","4","08:04:07","4","08:08:15","walk"
"0100319","4","18:07:09","4","18:09:23","walk"
"0100320","4","18:13:46","4","18:23:41","subway"
"0100321","4","18:26:02","4","18:27:22","walk"
"0100322","4","18:44:19","4","18:58:52","taxi"
"0100323","4","19:24:34","4","19:54:39","train"
"0100324","4","20:04:01","4","20:12:43","train"
"0100325","4","20:12:45","4","20:16:31","walk"
"0100326","4","20:17:01","4","20:24:50","taxi"
"0100327","5","05:49:23","5","05:50:31","taxi"
"0100328","5","06:09:35","5","06:40:03","train"
"0100329","5","06:55:23","5","07:22:36","taxi"
"0100330","5","07:46:55","5","07:55:56","subway"
"0100331","5","07:58:06","5","08:01:36","walk"
"0100332","5","17:33:07","5","17:42:44","subway"
"0100333","5","18:19:07","5","18:38:23","taxi"
"0100334","5","18:49:30","5","19:19:21","train"
"0100335","5","19:45:26","5","19:54:25","train"
"0100336","5","19:57:27","5","20:05:49","taxi"
"0100337","1","05:48:36","1","05:50:18","taxi"
"0100338","1","06:09:38","1","06:40:27","train"
"0100339","1","06:45:29","1","07:12:30","taxi"
"0100340","1","07:44:02","1","07:53:00","subway"
"0100341","1","07:55:10","1","07:58:42","walk"
"0100342","1","17:43:15","1","17:52:56","subway"
"0100343","1","18:13:58","1","18:26:35","taxi"
"0100344","1","18:39:38","1","19:09:28","train"
"0100345","1","19:23:31","1","19:28:47","bus"
"0100346","2","06:04:18","2","06:06:45","taxi"
"0100347","2","06:24:32","2","06:55:34","train"
"0100348","2","07:01:11","2","07:18:18","taxi"
"0100349","2","07:21:43","2","07:24:36","walk"
"0100350","2","07:49:51","2","07:58:20","subway"
"0100351","2","07:58:38","2","08:07:43","walk"
"0100352","2","18:47:37","2","18:59:00","bus"
"0100353","2","18:59:10","2","19:04:15","walk"
"0100354","3","07:51:43","3","08:10:59","taxi"
"0100355","3","18:10:10","3","18:23:48","taxi"
"0100356","3","18:39:39","3","19:09:49","train"
"0100357","3","19:13:56","3","19:29:43","walk"
"0100358","4","06:24:29","4","06:54:46","train"
"0100359","4","07:01:50","4","07:24:07","taxi"
"0100360","4","07:58:49","4","08:07:36","subway"
"0100361","4","08:11:04","4","08:14:32","walk"
"0100362","4","18:04:15","4","18:13:48","subway"
"0100363","4","18:39:53","4","18:52:53","taxi"
"0100364","4","19:04:48","4","19:34:47","train"
"0100365","4","19:50:43","4","20:02:12","train"
"0100366","4","20:03:05","4","20:05:33","walk"
"0100367","4","20:05:55","4","20:14:23","taxi"
"0100368","5","05:49:35","5","05:50:20","taxi"
"0100369","5","06:09:35","5","06:41:06","train"
"0100370","5","06:57:18","5","07:15:39","taxi"
"0100371","5","07:41:11","5","07:50:31","subway"
"0100372","5","07:51:24","5","07:55:36","walk"
"0100373","5","18:28:40","5","18:31:57","walk"
"0100374","5","18:35:58","5","18:45:20","subway"
"0100375","5","18:48:19","5","19:16:46","taxi"
"0100376","5","19:17:35","5","19:20:36","walk"
"0100377","5","19:24:41","5","19:55:10","train"
"0100378","5","20:10:26","5","20:19:35","train"
"0100379","5","20:20:19","5","20:22:22","walk"
"0100380","5","20:22:39","5","20:30:17","taxi"
"0100381","6","19:06:06","6","19:10:54","taxi"
"0100382","6","19:22:48","6","19:24:57","walk"
"0100383","6","19:44:52","6","19:50:22","walk"
"0100384","6","20:00:00","6","20:07:09","taxi"
"0100385","1","05:28:47","1","05:31:43","taxi"
"0100386","1","05:54:39","1","06:25:04","train"
"0100387","1","06:41:17","1","07:02:18","taxi"
"0100388","1","07:29:03","1","07:37:58","subway"
"0100389","1","07:39:43","1","07:43:29","walk"
"0100390","1","18:41:50","1","19:06:05","bus"
"0100391","1","19:06:14","1","19:19:20","walk"
"0100392","2","07:46:22","2","07:58:38","taxi"
"0100393","5","18:19:23","5","19:06:22","taxi"
"0100394","5","19:39:39","5","20:09:58","train"
"0100395","5","20:18:51","5","20:24:58","taxi"
"0100396","6","11:59:27","6","12:30:18","train"
"0100397","6","12:35:38","6","13:06:30","taxi"
"0100398","2","18:18:55","2","18:21:11","subway"
"0100399","2","19:02:34","2","19:10:08","taxi"
"0100400","2","19:14:08","2","19:22:48","walk"
"0100401","2","22:38:07","2","22:40:15","subway"
"0100402","2","22:41:44","2","22:43:39","walk"
"0100403","4","18:22:19","4","18:31:48","subway"
"0100404","4","18:36:29","4","19:14:36","taxi"
"0100405","4","19:24:09","4","20:03:56","train"
"0100406","4","20:04:47","4","20:07:19","walk"
"0100407","4","20:08:06","4","20:21:11","taxi"
"0100408","5","06:54:31","5","07:24:45","train"
"0100409","5","07:31:26","5","07:49:53","taxi"
"0100410","5","08:13:55","5","08:22:33","subway"
"0100411","5","08:25:31","5","08:28:30","walk"
"0100412","5","13:18:17","5","13:20:50","walk"
"0100413","5","13:24:51","5","13:29:35","walk"
"0100414","5","17:08:52","5","18:09:31","bus"
"0100415","5","18:12:00","5","18:20:25","walk"
"0100416","6","17:41:06","6","17:50:29","walk"
"0100417","6","17:56:03","6","19:09:21","bus"
"0100418","1","08:34:31","1","08:53:34","taxi"
"0100419","6","12:16:28","6","12:25:31","subway"
"0100420","6","12:57:11","6","13:09:14","taxi"
"0100421","6","15:39:43","6","16:16:10","train"
"0100422","6","16:27:08","6","16:49:35","train"
"0100423","6","16:59:47","6","17:05:09","taxi"
"0100424","6","17:51:03","6","17:56:30","walk"
"0100425","6","18:02:44","6","18:13:35","subway"
"0100426","6","18:30:11","6","19:17:54","subway"
"0100427","6","19:30:30","6","19:43:24","taxi"
"0100428","7","18:10:46","7","18:16:02","walk"
"0100429","7","18:19:25","7","18:21:54","taxi"
"0100430","7","18:30:54","7","18:34:14","taxi"
"0100431","7","18:59:29","7","19:29:48","train"
"0100432","7","19:43:12","7","20:23:26","bus"
"0100433","7","20:23:34","7","20:25:07","walk"
"0100434","7","20:25:34","7","20:37:28","taxi"
"0200001","6","13:13:01","6","15:01:37","walk"
"0200002","6","16:34:43","6","21:50:30","walk"
"0200003","6","21:50:31","6","22:01:58","bus"
"0200004","6","22:01:59","6","22:31:43","walk"
"0200005","7","11:33:31","7","11:44:25","walk"
"0200006","7","11:44:26","7","12:04:09","bus"
"0200007","7","12:04:10","7","12:23:21","walk"
"0200008","7","12:23:22","7","12:34:33","bus"
"0200009","7","12:34:34","7","12:49:41","walk"
"0200010","7","12:49:42","7","13:16:50","bus"
"0200011","7","13:16:51","7","14:20:26","walk"
"0200012","7","14:20:27","7","14:35:22","bus"
"0200013","7","14:35:23","7","14:42:52","walk"
"0200014","7","21:33:00","7","22:08:52","bus"
"0200015","1","08:32:23","1","09:00:54","bus"
"0200016","1","22:20:37","1","22:56:19","walk"
"0200017","2","08:23:38","2","08:25:46","walk"
"0200018","2","08:25:47","2","08:35:30","bus"
"0200019","2","08:35:31","2","08:43:58","walk"
"0200020","2","21:09:17","2","21:16:52","walk"
"0200021","2","21:16:53","2","21:24:44","bus"
"0200022","2","21:24:45","2","21:33:00","walk"
"0200023","3","08:45:01","3","08:51:17","walk"
"0200024","3","08:51:18","3","09:01:25","bus"
"0200025","3","09:01:26","3","09:21:53","walk"
"0200026","3","11:15:04","3","12:57:20","walk"
"0200027","4","08:48:31","4","08:55:50","walk"
"0200028","4","08:55:51","4","09:07:26","bus"
"0200029","4","09:07:27","4","09:15:34","walk"
"0200030","4","21:49:54","4","22:05:11","walk"
"0200031","5","08:28:01","5","08:37:44","walk"
"0200032","5","08:37:45","5","08:53:05","bus"
"0200033","5","08:53:06","5","09:01:05","walk"
"0200034","6","11:42:02","6","13:16:53","walk"
"0200035","6","21:20:01","6","22:00:54","walk"
"0200036","7","10:48:09","7","10:53:44","walk"
"0200037","7","10:53:45","7","11:05:04","bus"
"0200038","7","11:05:05","7","11:12:58","walk"
"0200039","7","21:32:55","7","21:58:55","walk"
"0200040","1","08:24:02","1","08:27:45","walk"
"0200041","1","08:27:46","1","08:38:49","bus"
"0200042","1","08:38:50","1","08:47:05","walk"
"0200043","1","11:05:59","1","11:36:16","walk"
"0200044","1","21:22:37","1","21:34:12","walk"
"0200045","1","21:34:13","1","21:40:28","bus"
"0200046","1","21:34:13","1","21:41:56","bus"
"0200047","1","21:40:29","1","21:45:59","walk"
"0200048","1","21:41:57","1","21:45:59","walk"
"0200049","2","08:32:54","2","08:51:17","bus"
"0200050","2","08:32:54","2","08:51:25","bus"
"0200051","2","08:51:18","2","08:59:38","walk"
"0200052","2","08:51:26","2","08:59:38","walk"
"0200053","2","22:00:01","2","22:38:48","walk"
"0200054","3","22:00:06","3","22:26:27","walk"
"0200055","5","09:13:25","5","09:17:56","walk"
"0200056","6","18:30:41","6","22:00:55","walk"
"0200057","6","18:30:41","6","22:21:07","walk"
"0200058","6","22:00:56","6","22:13:43","bus"
"0200059","6","22:13:44","6","22:21:07","walk"
"0200060","7","07:05:06","7","17:49:02","subway"
"0200061","7","07:05:06","7","07:14:44","walk"
"0200062","7","07:14:45","7","07:32:47","subway"
"0200063","7","07:32:48","7","09:53:35","walk"
"0200064","7","09:53:36","7","11:13:07","train"
"0200065","7","11:13:08","7","15:38:19","walk"
"0200066","7","15:38:20","7","17:26:49","car"
"0200067","7","17:26:50","7","17:49:02","walk"
"0200068","1","12:32:07","1","13:29:42","walk"
"0200069","1","12:32:07","1","13:31:50","walk"
"0200070","1","13:29:43","1","13:57:47","bus"
"0200071","1","13:31:51","1","13:48:54","bus"
"0200072","1","13:48:55","1","14:25:32","walk"
"0200073","1","13:57:48","1","22:54:55","walk"
"0200074","1","14:25:33","1","14:51:09","bus"
"0200075","1","14:51:10","1","16:20:47","walk"
"0200076","1","16:20:48","1","16:55:11","bus"
"0200077","1","16:55:12","1","22:54:55","walk"
"0200078","2","09:09:20","2","09:12:02","walk"
"0200079","2","22:12:05","2","22:46:04","walk"
"0200080","3","08:32:25","3","08:38:03","walk"
"0200081","3","08:38:04","3","08:50:59","bus"
"0200082","3","08:51:00","3","08:59:11","walk"
"0200083","4","09:24:01","4","09:31:20","walk"
"0200084","4","09:31:21","4","09:45:28","bus"
"0200085","4","09:45:29","4","09:52:31","walk"
"0200086","5","08:40:35","5","08:43:22","walk"
"0200087","5","08:43:23","5","08:53:46","bus"
"0200088","5","08:53:47","5","09:02:03","walk"
"0200089","5","21:30:29","5","21:33:56","walk"
"0200090","5","21:33:57","5","21:43:16","bus"
"0200091","5","21:43:17","5","21:49:18","walk"
"0200092","6","09:16:31","6","09:19:44","walk"
"0200093","6","09:19:45","6","09:30:56","bus"
"0200094","6","09:30:57","6","10:08:10","walk"
"0200095","3","08:30:07","3","08:44:57","bike"
"0200096","3","23:05:31","3","23:41:45","bike"
"0200097","4","08:25:59","4","08:36:35","bike"
"0200098","5","08:23:07","5","08:42:36","bike"
"0200099","5","23:02:49","5","23:19:53","bike"
"0200100","6","10:33:08","6","10:48:05","bike"
"0200101","6","23:34:31","6","23:37:15","bike"
"0200102","7","09:32:33","7","09:58:39","bike"
"0200103","1","08:41:37","1","08:59:02","bike"
"0200104","1","22:16:26","1","22:25:04","bike"
"0200105","2","09:17:25","2","09:34:20","bike"
"0200106","2","22:02:58","2","22:05:31","bike"
"0200107","3","21:41:11","3","22:46:23","bike"
"0200108","4","09:01:33","4","09:11:30","bike"
"0200109","6","11:52:26","6","11:58:36","bike"
"0200110","1","09:53:37","1","10:07:31","bike"
"0200111","2","09:58:23","2","10:14:00","bike"
"0200112","2","19:56:25","2","20:02:07","bike"
"0200113","3","11:11:36","3","11:22:22","bike"
"0200114","3","22:21:31","3","22:26:34","bike"
"0200115","4","11:06:01","4","11:52:01","bike"
"0200116","4","22:24:07","4","22:49:17","bike"
"0200117","5","22:15:36","5","22:21:34","bike"
"0200118","7","08:32:17","7","08:46:26","bike"
"0200119","1","08:29:55","1","08:46:19","bike"
"0200120","1","21:53:07","1","22:15:32","bike"
"0200121","2","08:39:05","2","08:50:56","bike"
"0200122","2","22:04:31","2","22:13:00","bike"
"0200123","3","08:26:28","3","08:41:25","bike"
